GHO,COUNTRY,COUNTRY_CODE,REGION,YEAR,SEX,AGEGROUP,Display Value,Numeric,Low,High
MALARIA002,Nigeria,NGA,Africa,2000,Both sexes,All ages,64000000,64000000,60000000,69000000
MALARIA002,Nigeria,NGA,Africa,2005,Both sexes,All ages,59000000,59000000,55000000,65000000
MALARIA002,Nigeria,NGA,Africa,2010,Both sexes,All ages,52000000,52000000,48000000,58000000
MALARIA002,Nigeria,NGA,Africa,2015,Both sexes,All ages,69000000,69000000,62000000,76000000
MALARIA002,Nigeria,NGA,Africa,2020,Both sexes,All ages,61000000,61000000,55000000,67000000
MALARIA002,Nigeria,NGA,Africa,2022,Both sexes,All ages,67500000,67500000,61000000,74000000
MALARIA002,Democratic Republic of the Congo,COD,Africa,2000,Both sexes,All ages,25000000,25000000,22000000,29000000
MALARIA002,Democratic Republic of the Congo,COD,Africa,2005,Both sexes,All ages,22000000,22000000,19000000,25000000
MALARIA002,Democratic Republic of the Congo,COD,Africa,2010,Both sexes,All ages,20000000,20000000,17000000,23000000
MALARIA002,Democratic Republic of the Congo,COD,Africa,2015,Both sexes,All ages,26000000,26000000,22000000,30000000
MALARIA002,Democratic Republic of the Congo,COD,Africa,2020,Both sexes,All ages,30000000,30000000,26000000,34000000
MALARIA002,Democratic Republic of the Congo,COD,Africa,2022,Both sexes,All ages,31500000,31500000,27000000,36000000
MALARIA002,Uganda,UGA,Africa,2000,Both sexes,All ages,11000000,11000000,9000000,13000000
MALARIA002,Uganda,UGA,Africa,2005,Both sexes,All ages,9500000,9500000,8000000,11000000
MALARIA002,Uganda,UGA,Africa,2010,Both sexes,All ages,7800000,7800000,6400000,9200000
MALARIA002,Uganda,UGA,Africa,2015,Both sexes,All ages,9800000,9800000,8300000,11300000
MALARIA002,Uganda,UGA,Africa,2020,Both sexes,All ages,12000000,12000000,10000000,14000000
MALARIA002,Uganda,UGA,Africa,2022,Both sexes,All ages,13200000,13200000,11000000,15300000
MALARIA002,Ghana,GHA,Africa,2000,Both sexes,All ages,7800000,7800000,6500000,9000000
MALARIA002,Ghana,GHA,Africa,2005,Both sexes,All ages,7000000,7000000,5900000,8100000
MALARIA002,Ghana,GHA,Africa,2010,Both sexes,All ages,6200000,6200000,5100000,7200000
MALARIA002,Ghana,GHA,Africa,2015,Both sexes,All ages,5600000,5600000,4500000,6700000
MALARIA002,Ghana,GHA,Africa,2020,Both sexes,All ages,5300000,5300000,4200000,6400000
MALARIA002,Ghana,GHA,Africa,2022,Both sexes,All ages,5000000,5000000,4000000,6000000
MALARIA002,India,IND,South-East Asia,2000,Both sexes,All ages,22000000,22000000,19000000,26000000
MALARIA002,India,IND,South-East Asia,2005,Both sexes,All ages,18000000,18000000,15000000,21000000
MALARIA002,India,IND,South-East Asia,2010,Both sexes,All ages,14000000,14000000,11000000,17000000
MALARIA002,India,IND,South-East Asia,2015,Both sexes,All ages,9300000,9300000,7600000,11000000
MALARIA002,India,IND,South-East Asia,2020,Both sexes,All ages,5800000,5800000,4600000,7000000
MALARIA002,India,IND,South-East Asia,2022,Both sexes,All ages,4200000,4200000,3300000,5100000
MALARIA002,Pakistan,PAK,Eastern Mediterranean,2000,Both sexes,All ages,4300000,4300000,3400000,5200000
MALARIA002,Pakistan,PAK,Eastern Mediterranean,2005,Both sexes,All ages,3900000,3900000,3100000,4700000
MALARIA002,Pakistan,PAK,Eastern Mediterranean,2010,Both sexes,All ages,3600000,3600000,2900000,4300000
MALARIA002,Pakistan,PAK,Eastern Mediterranean,2015,Both sexes,All ages,4100000,4100000,3300000,4900000
MALARIA002,Pakistan,PAK,Eastern Mediterranean,2020,Both sexes,All ages,4500000,4500000,3600000,5400000
MALARIA002,Pakistan,PAK,Eastern Mediterranean,2022,Both sexes,All ages,5200000,5200000,4100000,6300000
MALARIA002,Brazil,BRA,Americas,2000,Both sexes,All ages,610000,610000,520000,700000
MALARIA002,Brazil,BRA,Americas,2005,Both sexes,All ages,450000,450000,390000,520000
MALARIA002,Brazil,BRA,Americas,2010,Both sexes,All ages,330000,330000,280000,390000
MALARIA002,Brazil,BRA,Americas,2015,Both sexes,All ages,210000,210000,170000,250000
MALARIA002,Brazil,BRA,Americas,2020,Both sexes,All ages,145000,145000,110000,180000
MALARIA002,Brazil,BRA,Americas,2022,Both sexes,All ages,120000,120000,90000,150000
